Record,Type,Subpopulation,Indicator,Metric Category,Category,NResp,Estimate.P,StdError.P,LCB95Pct.P,UCB95Pct.P,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
754,WSA9_by_Lake_Origin,NAP_NATURAL,Acidification,Chemical,Total,65,100,0,100,100,11682.77729,3442.475117,4935.650039,18429.90453
755,WSA9_by_Lake_Origin,NPL_MAN_MADE,Acidification,Chemical,Good,34,100,0,100,100,1271.625134,236.4092901,808.2714399,1734.978828
756,WSA9_by_Lake_Origin,NPL_MAN_MADE,Acidification,Chemical,Total,34,100,0,100,100,1271.625134,236.4092901,808.2714399,1734.978828
757,WSA9_by_Lake_Origin,NPL_NATURAL,Acidification,Chemical,Good,42,100,0,100,100,1468.84975,284.0451386,912.1315085,2025.567992
758,WSA9_by_Lake_Origin,NPL_NATURAL,Acidification,Chemical,Total,42,100,0,100,100,1468.84975,284.0451386,912.1315085,2025.567992
759,WSA9_by_Lake_Origin,SAP_MAN_MADE,Acidification,Chemical,Good,88,100,0,100,100,9062.144738,1449.216221,6221.733139,11902.55634
760,WSA9_by_Lake_Origin,SAP_MAN_MADE,Acidification,Chemical,Total,88,100,0,100,100,9062.144738,1449.216221,6221.733139,11902.55634
761,WSA9_by_Lake_Origin,SPL_MAN_MADE,Acidification,Chemical,Good,76,100,0,100,100,6975.11281,1863.838544,3322.056391,10628.16923
762,WSA9_by_Lake_Origin,SPL_MAN_MADE,Acidification,Chemical,Total,76,100,0,100,100,6975.11281,1863.838544,3322.056391,10628.16923
763,WSA9_by_Lake_Origin,SPL_NATURAL,Acidification,Chemical,Good,14,100,0,100,100,758.9980799,232.7552849,302.8061042,1215.190056
764,WSA9_by_Lake_Origin,SPL_NATURAL,Acidification,Chemical,Total,14,100,0,100,100,758.9980799,232.7552849,302.8061042,1215.190056
765,WSA9_by_Lake_Origin,TPL_MAN_MADE,Acidification,Chemical,Good,82,99.37340909,0.570057472,98.25611698,100,8154.120652,1483.379518,5246.750221,11061.49108
